Id,Name,Type,Description,Created on,Updated on,Owner,License,Includes wiki,Forks count,Issues count,Stars count,Watchers count,Repo URL,Commits URL,Languages URL,Languages
84984027,fde-rekey,Organization,fde-rekey is a tool used to rotate/generate a macOS filevault2 personal recovery key without user interaction.,2017-03-14T18:31:46Z,2019-07-03T20:49:51Z,square,Apache License 2.0,False,2,2,32,32,https://api.github.com/repos/square/fde-rekey,https://api.github.com/repos/square/fde-rekey/commits,https://api.github.com/repos/square/fde-rekey/languages,
4719555,fdoc,Organization,Documentation format and verification,2012-06-19T21:40:32Z,2021-02-13T09:39:24Z,square,Other,True,58,12,385,385,https://api.github.com/repos/square/fdoc,https://api.github.com/repos/square/fdoc/commits,https://api.github.com/repos/square/fdoc/languages,
41121590,field-kit,Organization,FieldKit lets you take control of your text fields.,2015-08-20T22:23:24Z,2021-02-23T21:00:45Z,square,Apache License 2.0,True,35,21,454,454,https://api.github.com/repos/square/field-kit,https://api.github.com/repos/square/field-kit/commits,https://api.github.com/repos/square/field-kit/languages,
114170955,find-yarn-workspace-root,Organization,"Algorithm for finding the root of a yarn workspace, extracted from yarnpkg.com",2017-12-13T21:30:50Z,2021-02-22T19:43:24Z,square,Apache License 2.0,True,8,2,36,36,https://api.github.com/repos/square/find-yarn-workspace-root,https://api.github.com/repos/square/find-yarn-workspace-root/commits,https://api.github.com/repos/square/find-yarn-workspace-root/languages,
12796207,flow,Organization,"Name UI states, navigate between them, remember where you've been.",2013-09-12T22:20:16Z,2021-02-20T12:54:54Z,square,Apache License 2.0,True,262,37,2808,2808,https://api.github.com/repos/square/flow,https://api.github.com/repos/square/flow/commits,https://api.github.com/repos/square/flow/languages,
474273,ftpfxp,Organization,"ftpfxp, with patch",2010-01-15T22:22:04Z,2020-05-08T23:19:23Z,square,Other,True,10,1,11,11,https://api.github.com/repos/square/ftpfxp,https://api.github.com/repos/square/ftpfxp/commits,https://api.github.com/repos/square/ftpfxp/languages,
699741,fundraiser,Organization,,2010-06-02T18:58:27Z,2020-03-04T20:12:23Z,square,,False,7,0,8,8,https://api.github.com/repos/square/fundraiser,https://api.github.com/repos/square/fundraiser/commits,https://api.github.com/repos/square/fundraiser/languages,
35850471,gcmd,Organization,Simple library for golang to execute commands in parallel,2015-05-19T00:49:23Z,2020-06-23T05:43:19Z,square,Other,True,5,0,13,13,https://api.github.com/repos/square/gcmd,https://api.github.com/repos/square/gcmd/commits,https://api.github.com/repos/square/gcmd/languages,
314576,gh-unit,Organization,Test Framework for Objective-C,2009-09-22T18:13:54Z,2020-08-13T14:15:30Z,square,,True,5,0,17,17,https://api.github.com/repos/square/gh-unit,https://api.github.com/repos/square/gh-unit/commits,https://api.github.com/repos/square/gh-unit/languages,
75039592,gifencoder,Organization,A pure Java library implementing the GIF89a specification. Suitable for use on Android.,2016-11-29T03:32:18Z,2021-02-18T20:54:14Z,square,Apache License 2.0,False,65,4,607,607,https://api.github.com/repos/square/gifencoder,https://api.github.com/repos/square/gifencoder/commits,https://api.github.com/repos/square/gifencoder/languages,
36754803,git-fastclone,Organization,git clone --recursive on steroids,2015-06-02T18:56:14Z,2021-02-26T20:50:50Z,square,Other,False,23,3,169,169,https://api.github.com/repos/square/git-fastclone,https://api.github.com/repos/square/git-fastclone/commits,https://api.github.com/repos/square/git-fastclone/languages,
26651710,go-jose,Organization,"An implementation of JOSE standards (JWE, JWS, JWT) in Go",2014-11-14T18:27:31Z,2021-03-08T08:34:10Z,square,,False,310,52,1720,1720,https://api.github.com/repos/square/go-jose,https://api.github.com/repos/square/go-jose/commits,https://api.github.com/repos/square/go-jose/languages,
52479416,go-sq-metrics,Organization,Shared package for metrics collection,2016-02-24T22:35:04Z,2019-07-03T20:48:58Z,square,Apache License 2.0,False,1,0,4,4,https://api.github.com/repos/square/go-sq-metrics,https://api.github.com/repos/square/go-sq-metrics/commits,https://api.github.com/repos/square/go-sq-metrics/languages,
54499863,goprotowrap,Organization,"A package-at-a-time wrapper for protoc, for generating Go protobuf code.",2016-03-22T18:38:58Z,2020-11-21T22:46:49Z,square,Apache License 2.0,True,8,3,147,147,https://api.github.com/repos/square/goprotowrap,https://api.github.com/repos/square/goprotowrap/commits,https://api.github.com/repos/square/goprotowrap/languages,
62745131,gpgmeh,Organization,It's a GPG Gem. Meh.,2016-07-06T18:43:39Z,2021-02-12T22:10:39Z,square,Apache License 2.0,False,4,0,13,13,https://api.github.com/repos/square/gpgmeh,https://api.github.com/repos/square/gpgmeh/commits,https://api.github.com/repos/square/gpgmeh/languages,
18731845,grange,Organization,A modern subset of the range query language,2014-04-13T15:04:51Z,2020-12-21T01:49:46Z,square,Other,False,20,5,35,35,https://api.github.com/repos/square/grange,https://api.github.com/repos/square/grange/commits,https://api.github.com/repos/square/grange/languages,
18779908,grange-server,Organization,,2014-04-14T23:02:57Z,2020-06-23T05:43:13Z,square,Other,True,10,0,11,11,https://api.github.com/repos/square/grange-server,https://api.github.com/repos/square/grange-server/commits,https://api.github.com/repos/square/grange-server/languages,
35850391,gssh,Organization,simple command line to utility to run commands on multiple hosts in parallel,2015-05-19T00:46:50Z,2021-01-31T01:04:15Z,square,Other,True,7,3,101,101,https://api.github.com/repos/square/gssh,https://api.github.com/repos/square/gssh/commits,https://api.github.com/repos/square/gssh/languages,
34395232,haha,Organization,DEPRECATED Java library to automate the analysis of Android heap dumps.,2015-04-22T14:29:19Z,2021-03-08T09:12:00Z,square,Apache License 2.0,False,162,0,1332,1332,https://api.github.com/repos/square/haha,https://api.github.com/repos/square/haha/commits,https://api.github.com/repos/square/haha/languages,
45428426,homebrew-bottles,Organization,File hosting for homebrew-self,2015-11-02T23:17:25Z,2019-07-03T20:48:45Z,square,Other,True,3,0,2,2,https://api.github.com/repos/square/homebrew-bottles,https://api.github.com/repos/square/homebrew-bottles/commits,https://api.github.com/repos/square/homebrew-bottles/languages,
45428554,homebrew-self,Organization,Square homebrew formula,2015-11-02T23:21:03Z,2019-07-03T20:48:45Z,square,Apache License 2.0,True,4,0,2,2,https://api.github.com/repos/square/homebrew-self,https://api.github.com/repos/square/homebrew-self/commits,https://api.github.com/repos/square/homebrew-self/languages,
1492949,hoptoad-ios,Organization,A Hoptoad Notifier for iOS,2011-03-17T18:52:11Z,2020-07-27T00:18:05Z,square,,False,6,0,7,7,https://api.github.com/repos/square/hoptoad-ios,https://api.github.com/repos/square/hoptoad-ios/commits,https://api.github.com/repos/square/hoptoad-ios/languages,
161254944,in-app-payments-android-quickstart,Organization,In-App Payments Quick Start Sample Android App,2018-12-11T00:35:37Z,2021-03-06T16:44:07Z,square,Apache License 2.0,True,29,3,30,30,https://api.github.com/repos/square/in-app-payments-android-quickstart,https://api.github.com/repos/square/in-app-payments-android-quickstart/commits,https://api.github.com/repos/square/in-app-payments-android-quickstart/languages,
158431980,in-app-payments-flutter-plugin,Organization,Flutter Plugin for Square In-App Payments SDK,2018-11-20T18:09:50Z,2021-03-05T06:38:58Z,square,Apache License 2.0,False,92,12,256,256,https://api.github.com/repos/square/in-app-payments-flutter-plugin,https://api.github.com/repos/square/in-app-payments-flutter-plugin/commits,https://api.github.com/repos/square/in-app-payments-flutter-plugin/languages,
160861047,in-app-payments-ios,Organization,Public repository that hosts the Square In-App Payments SDK iOS binaries,2018-12-07T18:28:10Z,2021-01-29T23:46:07Z,square,,True,6,5,8,8,https://api.github.com/repos/square/in-app-payments-ios,https://api.github.com/repos/square/in-app-payments-ios/commits,https://api.github.com/repos/square/in-app-payments-ios/languages,
161253133,in-app-payments-ios-quickstart,Organization,In-App Payments Quick Start Sample iOS App,2018-12-11T00:10:31Z,2021-03-02T16:21:20Z,square,Apache License 2.0,True,8,2,23,23,https://api.github.com/repos/square/in-app-payments-ios-quickstart,https://api.github.com/repos/square/in-app-payments-ios-quickstart/commits,https://api.github.com/repos/square/in-app-payments-ios-quickstart/languages,
169495419,in-app-payments-react-native-plugin,Organization,,2019-02-06T23:56:34Z,2021-02-11T14:32:56Z,square,Apache License 2.0,False,27,19,69,69,https://api.github.com/repos/square/in-app-payments-react-native-plugin,https://api.github.com/repos/square/in-app-payments-react-native-plugin/commits,https://api.github.com/repos/square/in-app-payments-react-native-plugin/languages,
